Word,LgSUBTLWF,OLD,PLD,NSyll
Indian,2.245,2.45,2.4,2
indoors,2.104,2.85,2.85,2
inferior,2.196,2.75,2.9,3
inhale,2.083,2.25,2.1,2
innocent,3.444,2.75,2.55,3
insane,3.295,2.05,1.95,2
instrument,2.617,3.4,2.75,3
insurance,3.291,2.7,2.85,3
iron,2.962,1.7,1.85,1
irregular,2.114,3.55,3.1,4
irritating,2.049,2.85,3.15,4
island,3.305,1.9,1.8,2
it,5.984,1.15,1,1
Italian,2.29,2.7,2.65,3
itch,2.33,1.55,1.3,1
item,2.799,1.9,1.85,2
jacket,3.232,1.85,2,2
jail,3.557,1.35,1.55,1
Jane,3.341,1.35,1.5,1
jeans,2.529,1.8,1.7,1
jelly,2.561,1.7,1.45,2
Jesus,3.915,2,2.65,2
Jewish,2.847,2.65,2,2
job,4.324,1.2,1.45,1
jogger,1.398,1.9,2.05,2
join,3.629,1.75,1.6,1
joke,3.571,1.45,1.55,1
journey,3.008,2.55,1.8,2
judge,3.609,1.7,1.85,1
juice,3.137,1.9,1.55,1
jump,3.552,1.6,1.8,1
jungle,3.062,1.75,2.25,2
juvenile,2.418,3.85,3.55,3
keep,4.554,1.5,1,1
keeper,2.32,1.9,1.7,2
ketchup,2.493,3.1,2.9,2
key,3.647,1.8,1,1
kidnap,2.521,2.95,2.8,2
kids,4.186,1.6,1.65,1
kill,4.363,1.2,1,1
killer,3.506,1.75,1.4,2
kind,4.479,1.45,1.35,1
king,3.819,1.5,1,1
kiss,3.791,1.75,1.15,1
kitchen,3.474,2.4,2.15,2
knee,2.875,1.8,1,1
knife,3.378,2.15,1.5,1
knight,3.135,1.9,1,1
knit,1.991,1.85,1,1
know,5.465,1.65,1,1
knowledge,3.115,3.8,2.6,2
lace,2.279,1.1,1,1
ladder,2.675,1.7,1,2
lady,4.044,1.75,1.4,2
lake,3.264,1.05,1,1
lamb,2.735,1.65,1,1
land,3.653,1.2,1,1
language,3.253,3.05,3.1,2
large,3.325,1.85,1.8,1
last,4.567,1.15,1,1
late,4.138,1,1,1
later,4.173,1.5,1.15,2
laugh,3.506,1.95,1.05,1
law,3.773,1.15,1,1
lawn,2.8,1.6,1,1
lawsuit,2.494,3.15,2.8,2
lawyer,3.608,1.9,1.8,2
layer,2.279,1.7,1.65,1
leader,3.201,1.6,1,2
leaf,2.425,1.65,1.05,1
learn,3.782,1.8,1.5,1
leather,2.841,1.7,1.35,2
leave,4.456,1.7,1,1
leaves,3.365,1.7,1.45,1
ledge,2.255,1.6,1.5,1
left,4.393,1.65,1.35,1
leg,3.46,1.35,1.2,1
legend,2.942,2.55,2.45,2
legs,3.453,1.55,1.4,1
lemon,2.788,1.85,1.7,2
lend,2.775,1.2,1.05,1
